Epoch [1/20], Binary Loss: 0.00227464445523677, Multi-class Loss: 1.0968454868751323
Epoch [2/20], Binary Loss: 5.694804013665217e-06, Multi-class Loss: 0.360739673724416
Epoch [3/20], Binary Loss: 7.006062396837077e-06, Multi-class Loss: 0.22273256312277157
Epoch [4/20], Binary Loss: 2.546600189907261e-06, Multi-class Loss: 0.19794240793949922
Epoch [5/20], Binary Loss: 6.0977212809726185e-06, Multi-class Loss: 0.15770425893878415
Epoch [6/20], Binary Loss: 1.909592852184896e-05, Multi-class Loss: 0.12877573820700947
Epoch [7/20], Binary Loss: 5.508990096243555e-06, Multi-class Loss: 0.17056359553640751
Epoch [8/20], Binary Loss: 2.5268486901588943e-07, Multi-class Loss: 0.14362397463992238
Epoch [9/20], Binary Loss: 6.311457127903057e-07, Multi-class Loss: 0.1018230124422382
Epoch [10/20], Binary Loss: 9.323649703814673e-07, Multi-class Loss: 0.11303011630717935
Epoch [11/20], Binary Loss: 2.500812360396486e-07, Multi-class Loss: 0.1527431147233688
Epoch [12/20], Binary Loss: 6.016446633984429e-07, Multi-class Loss: 0.09082330396889081
Epoch [13/20], Binary Loss: 2.435038036873925e-07, Multi-class Loss: 0.06998575726361912
Epoch [14/20], Binary Loss: 1.2271442191662991e-06, Multi-class Loss: 0.11464960797063982
Epoch [15/20], Binary Loss: 1.0962756419265771e-07, Multi-class Loss: 0.10520033873306958
Epoch [16/20], Binary Loss: 2.2888018654916418e-07, Multi-class Loss: 0.10730350965008303
Epoch [17/20], Binary Loss: 1.2238114655148255e-07, Multi-class Loss: 0.04420405010239648
Epoch [18/20], Binary Loss: 3.2778251167839307e-07, Multi-class Loss: 0.0696391440091177
Epoch [19/20], Binary Loss: 2.2412179039403404e-08, Multi-class Loss: 0.07757806161668794
Epoch [20/20], Binary Loss: 5.947006531955828e-08, Multi-class Loss: 0.09371062799354445
